name,gender,problematic,special_needs,math,reading,friends,assigned_class,has_friend_in_class
Student_01,b,y,n,m,m,"['Student_50', 'Student_06']",2,1
Student_02,g,n,y,m,h,"['Student_62', 'Student_30']",1,1
Student_03,g,n,n,h,l,"['Student_27', 'Student_60']",4,1
Student_04,g,n,n,m,l,"['Student_46', 'Student_41']",3,1
Student_05,b,n,n,m,l,"['Student_31', 'Student_30']",2,1
Student_06,b,n,n,h,l,"['Student_04', 'Student_86']",2,1
Student_07,g,n,n,m,m,"['Student_26', 'Student_53']",4,1
Student_08,g,n,y,h,l,"['Student_44', 'Student_37']",5,1
Student_09,g,n,n,h,m,"['Student_10', 'Student_37']",2,1
Student_10,g,n,n,l,l,"['Student_46', 'Student_84']",2,0
Student_11,b,y,y,m,h,"['Student_67', 'Student_53']",4,1
Student_12,b,n,n,l,l,"['Student_88', 'Student_70']",4,1
Student_13,b,n,n,l,h,"['Student_44', 'Student_04']",5,1
Student_14,g,n,n,m,l,"['Student_16', 'Student_35']",3,0
Student_15,b,n,n,m,h,"['Student_24', 'Student_76']",3,1
Student_16,b,n,n,l,h,"['Student_35', 'Student_05']",2,1
Student_17,b,n,n,l,m,"['Student_14', 'Student_78']",3,1
Student_18,b,n,n,m,l,"['Student_57', 'Student_46']",5,1
Student_19,b,y,n,m,m,"['Student_42', 'Student_57']",2,1
Student_20,b,n,n,h,m,"['Student_79', 'Student_67']",4,1
Student_21,b,n,n,h,h,"['Student_15', 'Student_51']",3,1
Student_22,b,n,n,l,m,"['Student_75', 'Student_26']",5,1
Student_23,b,n,n,m,m,"['Student_34', 'Student_06']",1,1
Student_24,b,n,y,m,m,"['Student_57', 'Student_01']",2,1
Student_25,g,n,n,h,m,"['Student_68', 'Student_70']",5,1
Student_26,g,n,n,h,m,"['Student_89', 'Student_87']",4,1
Student_27,g,n,n,m,l,"['Student_26', 'Student_48']",4,1
Student_28,b,n,n,m,m,"['Student_57', 'Student_09']",5,1
Student_29,g,y,n,h,m,"['Student_87', 'Student_44']",5,1
Student_30,g,n,n,l,m,"['Student_81', 'Student_42']",2,1
Student_31,b,n,n,l,h,"['Student_86', 'Student_16']",2,1
Student_32,g,n,n,h,l,"['Student_40', 'Student_66']",1,1
Student_33,g,n,y,m,l,"['Student_41', 'Student_87']",2,1
Student_34,b,n,n,l,m,"['Student_54', 'Student_43']",1,1
Student_35,b,n,n,m,m,"['Student_53', 'Student_39']",1,1
Student_36,b,n,n,l,m,"['Student_72', 'Student_17']",3,1
Student_37,g,n,n,h,m,"['Student_25', 'Student_55']",3,0
Student_38,g,n,n,l,h,"['Student_87', 'Student_50']",2,1
Student_39,g,n,n,m,m,"['Student_88', 'Student_23']",1,1
Student_40,g,n,n,l,l,"['Student_80', 'Student_74']",1,1
Student_41,b,n,n,m,h,"['Student_39', 'Student_53']",5,0
