name,gender,problematic,special_needs,math,reading,friends,assigned_class,has_friend_in_class
Student_01,b,n,n,h,m,"['Student_25', 'Student_72']",3,1
Student_02,b,n,n,h,m,"['Student_64', 'Student_88']",2,1
Student_03,g,n,n,m,l,"['Student_01', 'Student_02']",5,0
Student_04,g,n,n,h,m,"['Student_01', 'Student_02']",4,0
Student_05,g,n,n,h,m,"['Student_87', 'Student_35']",4,1
Student_06,b,n,n,l,l,"['Student_01', 'Student_02']",4,0
Student_07,b,n,y,m,h,"['Student_01', 'Student_02']",3,1
Student_08,g,n,y,m,l,"['Student_23', 'Student_39']",4,1
Student_09,b,n,n,m,m,"['Student_01', 'Student_02']",5,0
Student_10,b,n,n,l,h,"['Student_01', 'Student_02']",5,0
Student_11,b,y,n,l,h,"['Student_01', 'Student_02']",3,1
Student_12,b,n,y,m,h,"['Student_01', 'Student_02']",3,1
Student_13,g,n,n,m,h,"['Student_01', 'Student_02']",2,1
Student_14,b,y,n,m,l,"['Student_01', 'Student_02']",2,1
Student_15,g,y,n,m,l,"['Student_01', 'Student_02']",1,0
Student_16,b,y,n,l,l,"['Student_01', 'Student_02']",2,1
Student_17,b,y,n,m,m,"['Student_01', 'Student_02']",1,0
Student_18,b,y,n,l,l,"['Student_01', 'Student_02']",4,0
Student_19,b,n,n,h,l,"['Student_01', 'Student_02']",4,0
Student_20,g,n,n,l,l,"['Student_01', 'Student_02']",3,1
Student_21,b,y,n,m,h,"['Student_01', 'Student_02']",3,1
Student_22,g,n,n,h,m,"['Student_01', 'Student_02']",4,0
Student_23,g,y,n,l,h,"['Student_01', 'Student_02']",4,0
Student_24,b,n,n,m,m,"['Student_01', 'Student_02']",5,0
Student_25,g,n,n,h,l,"['Student_01', 'Student_02']",3,1
Student_26,b,n,n,m,l,"['Student_01', 'Student_02']",1,0
Student_27,b,y,n,h,l,"['Student_01', 'Student_02']",3,1
Student_28,b,n,n,h,m,"['Student_01', 'Student_02']",5,0
Student_29,b,n,n,h,h,"['Student_01', 'Student_02']",1,0
Student_30,g,y,y,h,m,"['Student_01', 'Student_02']",5,0
Student_31,g,n,n,l,m,"['Student_01', 'Student_02']",3,1
Student_32,g,y,n,h,h,"['Student_01', 'Student_02']",1,0
Student_33,b,n,n,m,l,"['Student_61', 'Student_64']",1,1
Student_34,b,n,n,l,m,"['Student_01', 'Student_02']",3,1
Student_35,b,n,y,h,h,"['Student_01', 'Student_02']",4,0
Student_36,b,n,y,l,m,"['Student_01', 'Student_02']",3,1
Student_37,b,n,y,l,l,"['Student_01', 'Student_02']",1,0
Student_38,g,n,n,l,h,"['Student_16', 'Student_85']",5,1
Student_39,g,n,y,h,l,"['Student_01', 'Student_02']",1,0
Student_40,b,n,n,m,l,"['Student_01', 'Student_02']",3,1
Student_41,g,n,y,l,h,"['Student_01', 'Student_02']",5,0
Student_42,b,n,n,h,l,"['Student_01', 'Student_02']",5,0
Student_43,g,n,n,l,h,"['Student_01', 'Student_02']",2,1
Student_44,b,n,y,m,l,"['Student_62', 'Student_73']",4,1
Student_45,b,n,n,h,h,"['Student_01', 'Student_02']",4,0
Student_46,g,n,n,h,h,"['Student_01', 'Student_02']",2,1
Student_47,b,y,n,h,m,"['Student_01', 'Student_02']",1,0
Student_48,g,n,y,h,m,"['Student_01', 'Student_02']",3,1
Student_49,g,n,n,l,h,"['Student_01', 'Student_02']",4,0
Student_50,g,y,n,h,h,"['Student_88', 'Student_64']",5,1
Student_51,g,n,n,m,l,"['Student_01', 'Student_02']",3,1
Student_52,g,n,y,l,h,"['Student_01', 'Student_02']",2,1
Student_53,b,y,n,l,m,"['Student_04', 'Student_85']",5,1
Student_54,g,n,n,h,l,"['Student_01', 'Student_02']",2,1
Student_55,g,n,n,m,h,"['Student_01', 'Student_02']",3,1
Student_56,b,n,y,m,l,"['Student_01', 'Student_02']",2,1
Student_57,b,n,n,m,m,"['Student_60', 'Student_20']",4,1
Student_58,g,n,n,m,h,"['Student_76', 'Student_42']",5,1
Student_59,g,n,n,l,m,"['Student_01', 'Student_02']",1,0
Student_60,g,n,n,l,m,"['Student_01', 'Student_02']",4,0
Student_61,g,n,y,l,m,"['Student_01', 'Student_02']",1,0
Student_62,b,n,n,h,h,"['Student_01', 'Student_02']",2,1
Student_63,b,n,y,l,h,"['Student_39', 'Student_80']",4,1
Student_64,g,n,n,m,m,"['Student_01', 'Student_02']",5,0
Student_65,b,n,n,h,h,"['Student_01', 'Student_02']",1,0
Student_66,g,n,n,h,m,"['Student_01', 'Student_02']",2,1
Student_67,b,y,n,h,m,"['Student_01', 'Student_02']",2,1
Student_68,g,n,n,l,m,"['Student_84', 'Student_56']",1,1
Student_69,b,n,n,l,m,"['Student_01', 'Student_02']",2,1
Student_70,g,y,n,m,m,"['Student_01', 'Student_02']",2,1
Student_71,g,n,y,m,h,"['Student_01', 'Student_82']",1,1
Student_72,g,n,n,h,m,"['Student_01', 'Student_02']",3,1
Student_73,g,y,n,m,h,"['Student_05', 'Student_64']",4,1
Student_74,b,n,n,h,h,"['Student_01', 'Student_02']",5,0
Student_75,g,n,n,h,l,"['Student_01', 'Student_02']",3,1
Student_76,g,n,n,m,m,"['Student_80', 'Student_18']",4,1
Student_77,g,n,y,l,l,"['Student_01', 'Student_02']",5,0
Student_78,g,n,n,m,l,"['Student_01', 'Student_02']",2,1
Student_79,g,n,n,l,h,"['Student_01', 'Student_02']",3,1
Student_80,b,n,n,m,l,"['Student_01', 'Student_02']",4,0
Student_81,g,n,n,h,l,"['Student_07', 'Student_28']",5,1
Student_82,g,n,n,l,h,"['Student_01', 'Student_02']",1,0
Student_83,g,n,y,l,l,"['Student_01', 'Student_02']",2,1
Student_84,b,n,n,l,m,"['Student_01', 'Student_02']",1,0
Student_85,b,n,n,l,l,"['Student_01', 'Student_02']",5,0
Student_86,g,n,n,h,h,"['Student_01', 'Student_02']",1,0
Student_87,b,y,n,m,l,"['Student_01', 'Student_02']",5,0
Student_88,b,n,n,m,h,"['Student_01', 'Student_02']",2,1
Student_89,b,n,n,l,m,"['Student_01', 'Student_02']",2,1
Student_90,b,n,n,m,l,"['Student_29', 'Student_52']",1,1
