name,gender,problematic,special_needs,math,reading,friends,assigned_class,has_friend_in_class
Student_01,b,n,n,h,l,"['Student_08', 'Student_61']",5,1
Student_02,b,n,n,m,h,"['Student_58', 'Student_54']",2,1
Student_03,b,n,n,h,l,"['Student_54', 'Student_26']",1,1
Student_04,g,y,y,m,l,"['Student_21', 'Student_63']",5,1
Student_05,b,y,n,h,m,"['Student_46', 'Student_45']",3,1
Student_06,g,y,n,m,m,"['Student_37', 'Student_33']",2,1
Student_07,g,y,y,h,h,"['Student_76', 'Student_52']",3,1
Student_08,b,n,n,l,h,"['Student_80', 'Student_27']",5,1
Student_09,b,n,n,l,h,"['Student_41', 'Student_44']",1,1
Student_10,b,n,n,m,l,"['Student_67', 'Student_09']",1,1
Student_11,g,n,n,h,l,"['Student_22', 'Student_14']",2,1
Student_12,b,n,n,h,h,"['Student_62', 'Student_61']",5,1
Student_13,g,n,y,h,h,"['Student_88', 'Student_04']",5,1
Student_14,b,y,n,m,m,"['Student_82', 'Student_67']",2,1
Student_15,g,n,n,l,h,"['Student_26', 'Student_13']",5,1
Student_16,g,n,n,h,h,"['Student_89', 'Student_52']",1,0
Student_17,g,y,n,h,l,"['Student_21', 'Student_15']",5,1
Student_18,g,n,n,l,l,"['Student_59', 'Student_60']",1,1
Student_19,g,y,n,l,h,"['Student_13', 'Student_89']",3,1
Student_20,b,n,y,h,h,"['Student_10', 'Student_54']",2,1
Student_21,b,n,n,m,m,"['Student_26', 'Student_85']",3,0
Student_22,g,n,n,h,l,"['Student_45', 'Student_48']",3,1
Student_23,b,n,n,l,m,"['Student_04', 'Student_10']",1,1
Student_24,g,y,y,h,l,"['Student_78', 'Student_13']",1,1
Student_25,g,n,n,l,h,"['Student_66', 'Student_06']",2,1
Student_26,g,y,n,h,h,"['Student_16', 'Student_09']",1,1
Student_27,b,n,n,h,l,"['Student_38', 'Student_70']",5,1
Student_28,b,n,n,m,l,"['Student_45', 'Student_18']",1,1
Student_29,b,y,n,l,h,"['Student_37', 'Student_17']",4,1
Student_30,g,y,n,l,m,"['Student_78', 'Student_51']",2,0
Student_31,b,n,y,h,m,"['Student_27', 'Student_76']",5,1
Student_32,g,y,n,m,m,"['Student_87', 'Student_56']",4,1
Student_33,g,n,n,l,l,"['Student_61', 'Student_73']",2,1
Student_34,b,n,y,h,l,"['Student_27', 'Student_62']",4,0
Student_35,b,n,n,h,l,"['Student_16', 'Student_43']",3,1
Student_36,b,n,n,m,l,"['Student_24', 'Student_37']",4,1
Student_37,b,n,n,m,l,"['Student_50', 'Student_10']",4,1
Student_38,g,n,n,l,m,"['Student_52', 'Student_26']",5,0
Student_39,b,n,n,m,h,"['Student_88', 'Student_53']",4,1
Student_40,b,n,n,l,h,"['Student_58', 'Student_79']",5,1
Student_41,b,n,n,h,h,"['Student_42', 'Student_78']",3,1
Student_42,b,n,n,l,h,"['Student_47', 'Student_35']",3,1
Student_43,b,n,y,l,l,"['Student_88', 'Student_21']",3,1
Student_44,g,n,n,m,h,"['Student_63', 'Student_84']",1,0
Student_45,b,n,n,m,l,"['Student_21', 'Student_02']",3,1
Student_46,g,n,n,h,m,"['Student_15', 'Student_59']",4,1
Student_47,g,n,n,h,l,"['Student_19', 'Student_87']",1,1
Student_48,g,y,n,l,m,"['Student_49', 'Student_12']",4,1
Student_49,b,n,y,h,h,"['Student_46', 'Student_54']",4,1
Student_50,g,n,n,l,h,"['Student_46', 'Student_09']",4,1
Student_51,g,n,n,h,l,"['Student_38', 'Student_56']",4,1
Student_52,g,n,n,h,m,"['Student_35', 'Student_48']",3,1
Student_53,b,n,n,l,l,"['Student_65', 'Student_29']",2,0
Student_54,b,y,n,h,l,"['Student_43', 'Student_53']",2,1
Student_55,b,y,n,l,m,"['Student_61', 'Student_60']",1,1
Student_56,b,n,n,h,l,"['Student_83', 'Student_66']",4,1
Student_57,g,n,n,m,l,"['Student_86', 'Student_51']",3,1
Student_58,g,y,y,l,h,"['Student_84', 'Student_61']",1,1
