name,gender,problematic,special_needs,math,reading,friends,assigned_class,has_friend_in_class
Student_01,g,n,n,m,m,['Student_12'],1,1
Student_02,g,n,n,m,l,[],5,0
Student_03,g,n,n,l,l,['Student_82'],2,1
Student_04,g,n,n,m,h,['Student_63'],3,1
Student_05,b,y,n,m,l,['Student_82'],2,1
Student_06,g,n,n,l,h,[],4,0
Student_07,g,n,n,m,h,['Student_89'],2,0
Student_08,g,n,n,m,l,['Student_25'],5,1
Student_09,g,n,n,h,h,[],3,0
Student_10,g,n,n,m,m,[],5,0
Student_11,b,n,y,m,l,['Student_80'],3,1
Student_12,b,n,n,h,l,[],1,0
Student_13,g,n,n,m,l,[],5,0
Student_14,b,y,n,h,m,['Student_80'],3,1
Student_15,g,n,n,h,h,[],4,0
Student_16,b,n,n,l,l,['Student_66'],5,1
Student_17,b,n,n,l,m,[],5,0
Student_18,g,n,n,h,m,['Student_44'],4,1
Student_19,g,n,n,l,h,['Student_24'],3,1
Student_20,g,n,n,m,h,['Student_33'],1,1
Student_21,g,n,n,h,m,[],2,0
Student_22,b,n,n,m,l,['Student_49'],1,1
Student_23,b,n,n,l,l,[],1,0
Student_24,g,n,n,m,m,['Student_56'],3,1
Student_25,b,n,n,l,m,[],5,0
Student_26,b,n,n,h,m,['Student_78'],2,1
Student_27,g,n,n,m,h,['Student_26'],2,1
Student_28,g,n,n,l,h,['Student_64'],1,1
Student_29,b,n,n,m,l,[],3,0
Student_30,g,n,n,l,h,['Student_19'],3,1
Student_31,b,n,n,h,m,[],2,0
Student_32,b,n,n,m,m,['Student_51'],1,1
Student_33,g,n,y,l,h,[],1,0
Student_34,b,n,n,m,l,[],3,0
Student_35,g,n,n,m,l,['Student_15'],4,1
Student_36,b,n,n,m,l,[],2,0
Student_37,g,n,n,h,h,[],1,0
Student_38,g,n,y,m,l,[],2,0
Student_39,g,n,n,h,l,['Student_23'],1,1
Student_40,b,n,n,m,l,['Student_41'],4,1
Student_41,g,n,n,m,l,['Student_69'],4,1
Student_42,g,n,n,h,h,['Student_51'],1,1
Student_43,g,n,n,h,h,['Student_75'],5,1
Student_44,g,n,n,l,h,['Student_15'],4,1
Student_45,g,y,y,m,h,[],5,0
Student_46,g,n,n,h,h,[],5,0
Student_47,b,n,n,m,l,[],1,0
Student_48,g,n,n,l,h,[],2,0
Student_49,g,y,n,l,m,['Student_51'],1,1
Student_50,g,y,n,m,m,['Student_29'],3,1
Student_51,g,n,n,m,m,[],1,0
Student_52,g,n,n,l,h,[],4,0
Student_53,g,n,n,h,l,[],3,0
Student_54,b,n,n,m,m,[],4,0
Student_55,b,n,n,m,h,['Student_35'],4,1
Student_56,b,n,n,h,m,['Student_68'],3,1
Student_57,b,n,n,m,l,[],4,0
Student_58,b,n,n,l,l,['Student_80'],3,1
Student_59,g,n,n,l,h,['Student_87'],4,1
Student_60,g,y,n,h,l,['Student_45'],5,1
Student_61,b,n,n,h,l,['Student_36'],2,1
Student_62,b,n,n,l,m,[],5,0
Student_63,g,n,n,l,m,['Student_30'],3,1
Student_64,b,y,n,l,l,['Student_01'],1,1
Student_65,g,n,n,h,h,['Student_71'],5,1
Student_66,g,n,n,h,m,[],5,0
Student_67,b,n,n,h,m,['Student_86'],1,1
Student_68,g,n,n,l,h,['Student_53'],3,1
Student_69,b,n,n,l,l,['Student_57'],4,1
Student_70,b,y,n,h,l,[],4,0
Student_71,b,n,n,m,l,['Student_81'],5,1
Student_72,g,n,y,l,h,['Student_38'],2,1
Student_73,g,n,y,l,m,[],4,0
Student_74,g,n,n,l,l,[],3,0
Student_75,g,n,n,h,h,['Student_16'],5,1
Student_76,g,n,n,l,h,['Student_27'],2,1
Student_77,g,y,n,l,m,[],2,0
Student_78,b,n,n,m,h,['Student_07'],2,1
Student_79,g,n,n,l,m,[],2,0
Student_80,g,n,n,h,h,[],3,0
Student_81,b,n,y,l,h,['Student_45'],5,1
Student_82,g,n,n,h,l,[],2,0
Student_83,b,n,n,h,m,['Student_76'],2,1
Student_84,b,n,n,l,m,[],5,0
Student_85,g,n,n,h,h,['Student_32'],1,1
Student_86,g,n,n,l,m,['Student_67'],1,1
Student_87,g,n,y,h,m,['Student_41'],4,1
Student_88,b,y,n,h,m,['Student_41'],4,1
Student_89,b,n,n,h,m,['Student_14'],3,1
Student_90,g,n,n,h,m,[],4,0
